case_id;activity;time;Resource
24;Resolve ticket;30.12.2010-15:16:35;Value 2
24;Closed;16.02.2011-09:30:28;Value 5
25;Assign seriousness;31.03.2011-07:28:47;Value 2
25;Take in charge ticket;31.03.2011-07:31:59;Value 2
25;Wait;31.03.2011-08:39:41;Value 2
25;Take in charge ticket;31.03.2011-11:00:28;Value 2
25;Resolve ticket;31.03.2011-11:00:41;Value 2
25;Closed;05.05.2011-09:50:46;Value 5
26;Assign seriousness;24.11.2011-14:02:16;Value 1
26;Take in charge ticket;24.11.2011-14:02:35;Value 1
26;Resolve ticket;12.12.2011-09:04:47;Value 13
26;Closed;27.12.2011-09:05:04;Value 5
27;Assign seriousness;25.10.2013-15:53:59;Value 9
27;Take in charge ticket;25.10.2013-15:54:05;Value 9
27;Create SW anomaly;25.10.2013-15:54:12;Value 9
27;Require upgrade;25.10.2013-15:54:23;Value 9
27;Require upgrade;14.11.2013-15:55:48;Value 1
27;Resolve ticket;23.12.2013-08:08:05;Value 1
28;Assign seriousness;30.07.2012-10:07:32;Value 1
28;Take in charge ticket;30.07.2012-10:07:40;Value 1
28;Resolve ticket;30.07.2012-12:29:40;Value 1
28;Closed;14.09.2012-10:10:38;Value 5
29;Assign seriousness;21.01.2011-09:47:20;Value 2
29;Take in charge ticket;07.02.2011-09:19:45;Value 2
29;Resolve ticket;10.02.2011-09:01:20;Value 2
29;Closed;25.02.2011-09:01:35;Value 5
30;Assign seriousness;15.04.2013-12:41:20;Value 4
30;Take in charge ticket;18.04.2013-07:06:11;Value 9
30;Create SW anomaly;18.04.2013-07:18:02;Value 9
30;Require upgrade;18.04.2013-07:18:23;Value 9
30;Resolve ticket;15.05.2013-13:30:39;Value 9
30;Closed;30.05.2013-13:31:00;Value 3
31;Assign seriousness;27.04.2011-07:38:44;Value 8
31;Take in charge ticket;27.04.2011-12:46:13;Value 8
31;Resolve ticket;28.04.2011-08:18:08;Value 2
31;Closed;04.06.2011-07:40:30;Value 5
32;Assign seriousness;29.04.2013-13:22:48;Value 14
32;Take in charge ticket;14.05.2013-14:53:46;Value 14
32;Resolve ticket;15.05.2013-10:19:05;Value 14
32;Closed;30.05.2013-10:19:20;Value 3
33;Assign seriousness;11.06.2013-13:56:40;Value 14
33;Take in charge ticket;25.06.2013-10:42:45;Value 14
33;Wait;25.06.2013-10:43:50;Value 14
33;Wait;26.06.2013-13:27:04;Value 9
33;Resolve ticket;05.07.2013-10:18:32;Value 9
33;Closed;20.07.2013-10:18:42;Value 3
34;Assign seriousness;18.01.2012-08:15:30;Value 1
34;Resolve ticket;18.01.2012-09:46:37;Value 1
34;Closed;10.03.2012-08:20:43;Value 5
35;Assign seriousness;29.06.2011-10:06:48;Value 2
35;Take in charge ticket;30.06.2011-12:58:23;Value 6
35;Resolve ticket;05.07.2011-07:32:43;Value 6
35;Closed;30.07.2011-10:10:20;Value 5
36;Assign seriousness;10.02.2011-11:13:07;Value 8
36;Take in charge ticket;10.02.2011-11:13:33;Value 8
36;Resolve ticket;10.02.2011-15:20:02;Value 9
36;Resolve ticket;02.03.2011-13:23:58;Value 2
36;Take in charge ticket;02.03.2011-13:24:07;Value 2
36;Wait;02.03.2011-15:27:52;Value 2
36;Take in charge ticket;04.03.2011-09:37:50;Value 2
36;Resolve ticket;04.03.2011-09:37:55;Value 2
36;Closed;03.04.2011-08:38:21;Value 5
37;Assign seriousness;20.03.2012-07:57:45;Value 4
37;Take in charge ticket;20.03.2012-07:58:15;Value 4
37;Resolve ticket;20.03.2012-08:18:56;Value 4
37;Closed;21.04.2012-16:00:36;Value 5
38;Assign seriousness;29.08.2013-11:05:59;Value 14
38;Take in charge ticket;11.09.2013-12:57:48;Value 2
38;Wait;12.09.2013-09:46:36;Value 4
38;Resolve ticket;27.09.2013-09:50:58;Value 4
38;Closed;12.10.2013-09:51:11;Value 3
39;Assign seriousness;09.08.2012-12:13:03;Value 4
39;Take in charge ticket;09.08.2012-12:13:29;Value 4
39;Resolve ticket;09.08.2012-12:46:00;Value 13
39;Closed;12.09.2012-12:20:25;Value 5
40;Assign seriousness;14.12.2010-10:44:26;Value 14
40;Take in charge ticket;14.12.2010-10:44:57;Value 14
40;Resolve ticket;14.12.2010-10:45:12;Value 14
40;Closed;27.01.2011-10:50:31;Value 5
41;Assign seriousness;16.06.2011-12:23:39;Value 8
41;Take in charge ticket;16.06.2011-12:51:05;Value 8
41;Resolve ticket;16.06.2011-13:39:51;Value 8
41;Closed;30.07.2011-12:30:33;Value 5
42;Assign seriousness;10.04.2012-08:56:32;Value 1
42;Take in charge ticket;10.04.2012-09:27:27;Value 4
42;Resolve ticket;10.04.2012-10:53:28;Value 4
42;Closed;26.05.2012-09:00:20;Value 5
43;Assign seriousness;29.11.2010-16:09:19;Value 2
43;Take in charge ticket;29.11.2010-16:19:59;Value 2
43;Resolve ticket;29.11.2010-16:20:51;Value 2
43;Closed;31.12.2010-16:10:28;Value 5
44;Assign seriousness;20.01.2012-14:08:14;Value 9
44;Take in charge ticket;25.01.2012-11:46:19;Value 9
44;Resolve ticket;02.03.2012-10:40:59;Value 9
44;Closed;17.03.2012-10:41:18;Value 5
45;Assign seriousness;14.11.2012-14:33:17;Value 1
45;Take in charge ticket;15.11.2012-13:33:28;Value 2
45;Take in charge ticket;15.11.2012-13:33:59;Value 12
45;Wait;16.11.2012-11:37:21;Value 12
45;Resolve ticket;14.12.2012-14:20:49;Value 12
45;Closed;29.12.2012-14:21:03;Value 3
46;Assign seriousness;25.05.2011-09:48:18;Value 8
46;Take in charge ticket;25.05.2011-09:48:43;Value 8
46;Resolve ticket;30.05.2011-15:04:34;Value 15
46;Closed;01.07.2011-09:50:37;Value 5
47;Insert ticket;01.12.2010-13:42:59;Value 12
47;Assign seriousness;02.12.2010-14:07:33;Value 2
47;Take in charge ticket;02.12.2010-14:07:41;Value 2
47;Resolve ticket;02.12.2010-14:08:33;Value 2
47;Closed;01.01.2011-14:08:51;Value 5
48;Assign seriousness;25.11.2011-14:33:54;Value 2
48;Take in charge ticket;25.11.2011-14:47:48;Value 2
48;Wait;29.11.2011-14:47:35;Value 2
48;Resolve ticket;02.12.2011-16:25:57;Value 2
48;Closed;07.01.2012-16:20:26;Value 5
49;Assign seriousness;16.01.2012-10:53:01;Value 4
49;Take in charge ticket;16.01.2012-10:59:51;Value 4
49;Resolve ticket;16.01.2012-16:37:54;Value 4
49;Resolve ticket;16.01.2012-16:37:55;Value 4
49;Closed;16.02.2012-11:00:57;Value 5
50;Assign seriousness;13.06.2012-13:55:36;Value 4
50;Take in charge ticket;14.06.2012-07:07:06;Value 4
50;Wait;15.06.2012-07:16:27;Value 10
50;Resolve ticket;02.07.2012-09:41:04;Value 10
50;Closed;18.07.2012-07:30:21;Value 5
51;Assign seriousness;26.07.2012-15:18:26;Value 13
51;Take in charge ticket;26.07.2012-15:18:35;Value 13
51;Resolve ticket;27.07.2012-10:46:28;Value 13
51;Closed;12.09.2012-15:20:55;Value 5
52;Assign seriousness;14.10.2010-13:53:13;Value 2
52;Take in charge ticket;15.10.2010-13:02:36;Value 14
52;Wait;28.10.2010-15:12:55;Value 12
52;Wait;28.10.2010-15:12:55;Value 12
52;Take in charge ticket;29.10.2010-13:42:01;Value 12
52;Resolve ticket;04.11.2010-08:48:12;Value 2
52;Closed;04.12.2010-08:48:57;Value 5
53;Assign seriousness;07.11.2013-08:20:59;Value 1
53;Take in charge ticket;29.11.2013-09:10:50;Value 2
53;Resolve ticket;02.12.2013-16:14:22;Value 2
53;Closed;17.12.2013-16:14:40;Value 3
54;Assign seriousness;26.10.2011-15:51:42;Value 4
54;Take in charge ticket;31.10.2011-15:19:03;Value 9
54;Wait;07.11.2011-08:44:52;Value 9
54;Resolve ticket;21.11.2011-08:21:23;Value 9
54;Closed;06.12.2011-08:21:36;Value 5
55;Assign seriousness;30.01.2012-11:32:58;Value 2
55;Resolve ticket;30.01.2012-11:33:23;Value 2
55;Closed;14.03.2012-11:40:25;Value 5
56;Assign seriousness;29.10.2010-09:39:23;Value 6
56;Take in charge ticket;02.11.2010-14:56:13;Value 6
56;Resolve ticket;02.11.2010-15:39:05;Value 6
56;Closed;30.11.2010-10:40:55;Value 5
57;Assign seriousness;16.11.2012-15:49:30;Value 1
57;Create SW anomaly;16.11.2012-15:49:51;Value 1
57;Require upgrade;28.11.2012-13:50:07;Value 2
57;Resolve ticket;17.12.2012-09:55:05;Value 2
57;Closed;01.01.2013-09:55:26;Value 3
58;Assign seriousness;28.03.2012-12:28:37;Value 1
58;Take in charge ticket;28.03.2012-12:28:47;Value 1
58;Resolve ticket;28.03.2012-15:32:57;Value 1
58;Resolve ticket;28.03.2012-15:32:57;Value 1
58;Closed;28.04.2012-12:30:17;Value 5
59;Assign seriousness;06.04.2011-15:35:49;Value 13
59;Take in charge ticket;06.04.2011-15:36:04;Value 13
59;Wait;07.04.2011-15:41:23;Value 13
59;Take in charge ticket;13.04.2011-08:49:14;Value 2
59;Resolve ticket;13.04.2011-08:49:22;Value 2
59;Closed;28.05.2011-08:50:26;Value 5
60;Assign seriousness;16.09.2011-07:04:39;Value 1
60;Take in charge ticket;16.09.2011-07:18:12;Value 10
60;Resolve ticket;16.09.2011-15:04:46;Value 10
60;Closed;10.11.2011-08:10:45;Value 5
61;Assign seriousness;28.05.2012-15:16:47;Value 4
61;Resolve ticket;28.05.2012-15:18:27;Value 4
61;Closed;26.07.2012-15:20:39;Value 5
62;Assign seriousness;06.03.2013-15:05:09;Value 4
62;Take in charge ticket;22.03.2013-08:58:01;Value 9
62;Resolve ticket;22.03.2013-09:34:16;Value 9
62;Closed;06.04.2013-08:34:35;Value 3
63;Assign seriousness;14.04.2011-15:54:28;Value 13
63;Assign seriousness;14.04.2011-15:54:46;Value 13
63;Wait;15.04.2011-10:41:19;Value 11
63;Take in charge ticket;27.04.2011-10:30:04;Value 2
63;Wait;27.04.2011-10:30:13;Value 2
63;Take in charge ticket;06.05.2011-09:42:13;Value 11
63;Resolve ticket;06.05.2011-09:42:28;Value 11
63;Closed;21.05.2011-09:42:52;Value 5
64;Assign seriousness;13.02.2013-13:41:45;Value 4
64;Take in charge ticket;01.03.2013-09:23:38;Value 2
64;Wait;01.03.2013-10:14:20;Value 2
64;Resolve ticket;01.03.2013-16:01:20;Value 2
64;Closed;16.03.2013-16:01:36;Value 3
65;Assign seriousness;26.06.2012-08:46:53;Value 2
65;Take in charge ticket;26.06.2012-08:47:39;Value 13
65;Resolve ticket;26.06.2012-13:05:58;Value 13
65;Closed;24.08.2012-15:42:30;Value 2
66;Assign seriousness;30.12.2010-15:03:15;Value 13
66;Take in charge ticket;11.01.2011-08:40:08;Value 2
66;Resolve ticket;13.01.2011-11:45:18;Value 2
66;Closed;12.02.2011-15:10:46;Value 5
67;Assign seriousness;11.04.2012-14:09:22;Value 4
67;Take in charge ticket;11.04.2012-14:09:45;Value 4
67;Resolve ticket;12.04.2012-10:31:37;Value 13
67;Closed;12.05.2012-14:10:23;Value 5
68;Assign seriousness;05.04.2013-08:30:22;Value 1
68;Take in charge ticket;30.04.2013-13:27:21;Value 2
68;Resolve ticket;30.04.2013-13:32:43;Value 9
68;Closed;15.05.2013-13:32:57;Value 3
69;Assign seriousness;07.06.2011-07:34:53;Value 8
69;Take in charge ticket;07.06.2011-07:35:14;Value 8
69;Wait;08.07.2011-08:44:58;Value 2
69;Resolve ticket;12.07.2011-07:00:36;Value 2
69;Closed;27.07.2011-07:01:03;Value 5
70;Assign seriousness;02.11.2011-08:20:14;Value 4
70;Take in charge ticket;02.11.2011-08:20:41;Value 4
70;Resolve ticket;02.11.2011-09:49:41;Value 4
70;Closed;07.12.2011-08:30:27;Value 5
71;Assign seriousness;25.01.2011-13:15:31;Value 8
71;Take in charge ticket;25.01.2011-13:15:58;Value 8
71;Resolve ticket;14.02.2011-11:48:42;Value 15
71;Closed;01.03.2011-11:48:59;Value 5
72;Assign seriousness;31.07.2012-11:01:15;Value 1
72;Resolve ticket;31.07.2012-11:02:02;Value 1
72;Closed;07.09.2012-11:00:40;Value 5
73;Resolve ticket;10.02.2012-11:42:26;Value 13
73;Closed;10.04.2012-09:32:49;Value 2
74;Assign seriousness;11.03.2010-15:15:54;Value 2
74;Assign seriousness;23.04.2010-07:44:51;Value 2
74;Take in charge ticket;23.04.2010-07:44:59;Value 2
74;Resolve ticket;23.04.2010-07:45:04;Value 2
74;Closed;08.05.2010-07:45:21;Value 5
75;Assign seriousness;10.01.2012-15:01:36;Value 1
75;Resolve ticket;10.01.2012-15:58:08;Value 1
75;Closed;25.02.2012-15:10:39;Value 5
76;Assign seriousness;25.09.2013-13:32:38;Value 14
76;Take in charge ticket;25.09.2013-13:33:02;Value 14
76;Wait;25.09.2013-14:29:45;Value 14
76;Resolve ticket;21.10.2013-15:09:58;Value 14
76;Closed;05.11.2013-16:10:14;Value 3
77;Assign seriousness;08.11.2011-09:18:10;Value 6
77;Take in charge ticket;08.11.2011-09:22:35;Value 6
77;Resolve ticket;05.12.2011-16:33:12;Value 6
77;Closed;20.12.2011-16:33:29;Value 5
78;Assign seriousness;03.10.2013-07:22:55;Value 14
78;Take in charge ticket;04.10.2013-09:08:21;Value 2
78;Wait;07.10.2013-13:20:44;Value 2
78;Wait;09.10.2013-07:36:41;Value 2
78;Resolve ticket;08.11.2013-09:26:35;Value 2
78;Closed;23.11.2013-09:26:49;Value 3
79;Assign seriousness;02.08.2012-09:22:58;Value 13
79;Take in charge ticket;03.08.2012-12:12:15;Value 13
79;Resolve ticket;10.08.2012-10:13:48;Value 13
79;Closed;09.09.2012-10:14:13;Value 5
80;Assign seriousness;09.02.2010-08:31:47;Value 16
80;Take in charge ticket;09.02.2010-08:35:12;Value 16
80;Wait;09.02.2010-08:35:26;Value 16
80;Wait;09.02.2010-08:36:27;Value 2
80;Take in charge ticket;19.02.2010-08:31:40;Value 11
80;Resolve ticket;19.02.2010-08:32:00;Value 11
80;Closed;09.04.2010-07:40:43;Value 5
81;Assign seriousness;31.10.2013-14:55:24;Value 9
81;Take in charge ticket;31.10.2013-15:04:25;Value 9
81;Wait;05.11.2013-14:35:43;Value 9
81;Resolve ticket;19.11.2013-16:09:52;Value 9
81;Closed;04.12.2013-16:10:09;Value 3
82;Assign seriousness;16.07.2013-14:19:52;Value 1
82;Take in charge ticket;23.07.2013-08:59:56;Value 1
82;Wait;24.07.2013-08:11:00;Value 1
82;Resolve ticket;19.08.2013-15:22:57;Value 1
82;Closed;03.09.2013-15:23:13;Value 3
83;Assign seriousness;10.12.2010-09:15:54;Value 14
83;Take in charge ticket;10.12.2010-09:16:17;Value 14
83;Resolve ticket;10.12.2010-09:16:34;Value 14
83;Closed;12.01.2011-09:20:47;Value 5
84;Assign seriousness;24.02.2011-17:01:50;Value 8
84;Take in charge ticket;24.02.2011-17:03:45;Value 8
84;Resolve ticket;04.03.2011-10:02:13;Value 9
84;Closed;09.04.2011-16:00:27;Value 5
85;Assign seriousness;12.06.2012-16:12:48;Value 1
85;Take in charge ticket;15.06.2012-07:27:33;Value 9
85;Wait;15.06.2012-10:00:52;Value 9
85;Resolve ticket;18.06.2012-09:42:02;Value 9
85;Closed;14.07.2012-15:40:24;Value 5
86;Assign seriousness;14.11.2011-14:35:55;Value 1
86;Take in charge ticket;17.11.2011-16:58:30;Value 9
86;Wait;17.11.2011-16:59:03;Value 9
86;Resolve ticket;25.11.2011-09:30:07;Value 9
86;Take in charge ticket;28.11.2011-13:50:35;Value 9
86;Wait;28.11.2011-13:59:00;Value 9
86;Resolve ticket;07.12.2011-13:41:18;Value 9
86;Closed;06.01.2012-16:20:25;Value 5
87;Assign seriousness;24.09.2010-07:57:49;Value 14
87;Assign seriousness;24.09.2010-13:43:51;Value 7
87;Wait;24.09.2010-13:44:52;Value 7
87;Take in charge ticket;04.10.2010-10:48:54;Value 14
87;Resolve ticket;04.10.2010-10:49:08;Value 14
87;Closed;03.11.2010-11:49:30;Value 5
88;Assign seriousness;26.02.2013-16:56:03;Value 1
88;Take in charge ticket;13.03.2013-16:41:09;Value 2
88;Resolve ticket;14.03.2013-15:26:52;Value 4
88;Closed;29.03.2013-15:27:15;Value 3
89;Assign seriousness;16.03.2010-07:59:03;Value 2
89;Take in charge ticket;17.03.2010-09:02:03;Value 12
89;Resolve ticket;17.03.2010-09:49:51;Value 12
89;Closed;21.04.2010-16:00:28;Value 5
90;Assign seriousness;24.05.2011-12:51:35;Value 8
90;Take in charge ticket;24.05.2011-12:52:07;Value 8
90;Resolve ticket;24.05.2011-13:36:11;Value 2
90;Closed;09.07.2011-13:00:36;Value 5
91;Assign seriousness;09.03.2010-10:09:33;Value 2
91;Take in charge ticket;09.03.2010-10:09:44;Value 2
91;Resolve ticket;18.03.2010-09:27:56;Value 2
91;Closed;02.05.2010-08:28:46;Value 5
92;Assign seriousness;25.07.2012-07:02:54;Value 1
92;Take in charge ticket;30.07.2012-09:39:04;Value 4
92;Resolve ticket;02.08.2012-15:14:07;Value 13
92;Closed;09.09.2012-07:10:33;Value 5
93;Assign seriousness;08.02.2012-08:33:56;Value 9
93;Take in charge ticket;08.02.2012-08:34:08;Value 9
93;Resolve ticket;08.02.2012-08:34:34;Value 9
93;Closed;07.04.2012-07:42:34;Value 5
94;Assign seriousness;26.09.2011-10:27:14;Value 1
94;Take in charge ticket;29.09.2011-13:54:32;Value 1
94;Resolve ticket;30.09.2011-09:09:23;Value 1
94;Closed;27.10.2011-10:30:27;Value 5
95;Assign seriousness;27.02.2012-16:31:32;Value 1
95;Take in charge ticket;28.02.2012-08:52:59;Value 6
95;Resolve ticket;29.02.2012-08:25:13;Value 1
95;Resolve ticket;29.02.2012-08:25:14;Value 1
95;Closed;11.04.2012-15:40:27;Value 5
96;Assign seriousness;02.04.2013-12:26:52;Value 2
96;Take in charge ticket;05.04.2013-16:14:03;Value 10
96;Resolve ticket;10.05.2013-09:30:24;Value 10
96;Closed;25.05.2013-09:30:42;Value 3
97;Assign seriousness;05.07.2012-12:16:51;Value 1
97;Take in charge ticket;05.07.2012-12:20:39;Value 1
97;Resolve ticket;09.07.2012-13:21:24;Value 9
97;Closed;07.08.2012-12:20:18;Value 5
98;Assign seriousness;11.05.2011-10:16:32;Value 8
98;Take in charge ticket;11.05.2011-10:17:55;Value 8
98;Resolve ticket;16.05.2011-08:33:29;Value 13
98;Closed;11.06.2011-10:20:27;Value 5
99;Assign seriousness;12.04.2013-10:25:17;Value 1
99;Take in charge ticket;24.04.2013-10:24:01;Value 9
99;Require upgrade;24.04.2013-15:51:11;Value 9
99;Resolve ticket;15.05.2013-13:21:00;Value 2
99;Closed;30.05.2013-13:21:20;Value 3
100;Insert ticket;18.06.2010-13:47:15;Value 15
100;Assign seriousness;18.06.2010-14:18:15;Value 15
100;Take in charge ticket;29.06.2010-07:35:47;Value 2
100;Resolve ticket;29.06.2010-08:33:07;Value 2
100;Closed;05.08.2010-13:50:24;Value 5
