case;event;time;resource
8;W_Nabellen incomplete dossiers;20.10.2011-07:30:32;11049
8;W_Nabellen incomplete dossiers;24.10.2011-13:24:55;11121
8;W_Nabellen incomplete dossiers;26.10.2011-06:12:38;-1
8;W_Valideren aanvraag;27.10.2011-07:18:01;10972
9;W_Completeren aanvraag;01.10.2011-09:20:50;10939
9;W_Nabellen offertes;01.10.2011-09:22:52;10939
9;W_Nabellen offertes;01.10.2011-09:32:54;10939
9;W_Nabellen offertes;04.10.2011-12:47:39;-1
9;W_Nabellen offertes;06.10.2011-07:49:47;-1
9;W_Valideren aanvraag;10.10.2011-08:06:09;10609
9;W_Nabellen incomplete dossiers;10.10.2011-08:20:04;10912
9;W_Nabellen incomplete dossiers;10.10.2011-09:42:32;10912
9;W_Nabellen incomplete dossiers;10.10.2011-12:22:14;-1
9;W_Nabellen incomplete dossiers;10.10.2011-14:28:29;11009
10;W_Afhandelen leads;01.10.2011-10:12:27;10912
10;W_Afhandelen leads;01.10.2011-10:20:55;10939
10;W_Completeren aanvraag;01.10.2011-11:27:08;10912
10;W_Completeren aanvraag;01.10.2011-12:02:01;-1
10;W_Completeren aanvraag;01.10.2011-13:15:17;11000
10;W_Completeren aanvraag;03.10.2011-09:33:42;-1
10;W_Completeren aanvraag;03.10.2011-13:48:20;11201
11;W_Completeren aanvraag;01.10.2011-11:55:31;10912
11;W_Completeren aanvraag;01.10.2011-13:15:12;11203
11;W_Completeren aanvraag;01.10.2011-13:31:19;11203
11;W_Completeren aanvraag;01.10.2011-13:40:12;11203
11;W_Nabellen offertes;01.10.2011-13:48:39;11203
11;W_Nabellen offertes;08.10.2011-14:20:20;10913
11;W_Nabellen offertes;10.10.2011-18:49:26;-1
11;W_Nabellen offertes;11.10.2011-08:47:04;-1
11;W_Nabellen offertes;11.10.2011-17:55:07;10863
11;W_Nabellen offertes;12.10.2011-13:37:20;11180
11;W_Nabellen offertes;13.10.2011-16:35:43;11180
11;W_Nabellen offertes;14.10.2011-08:21:10;-1
11;W_Valideren aanvraag;19.10.2011-11:20:05;10809
11;W_Nabellen incomplete dossiers;19.10.2011-11:32:57;-1
11;W_Nabellen incomplete dossiers;19.10.2011-11:36:44;-1
11;W_Nabellen incomplete dossiers;19.10.2011-17:11:47;11122
11;W_Nabellen incomplete dossiers;20.10.2011-06:10:36;-1
11;W_Valideren aanvraag;20.10.2011-08:08:56;10972
11;W_Nabellen incomplete dossiers;20.10.2011-08:27:48;11169
11;W_Nabellen incomplete dossiers;20.10.2011-08:45:06;-1
11;W_Valideren aanvraag;20.10.2011-10:00:47;10972
11;W_Nabellen incomplete dossiers;20.10.2011-10:32:33;11169
11;W_Nabellen incomplete dossiers;20.10.2011-11:52:22;10972
11;W_Nabellen incomplete dossiers;20.10.2011-14:25:42;11049
11;W_Valideren aanvraag;21.10.2011-04:15:05;10972
11;W_Valideren aanvraag;21.10.2011-07:05:10;10809
11;W_Valideren aanvraag;21.10.2011-07:08:21;10972
12;W_Afhandelen leads;01.10.2011-12:54:56;10939
13;W_Completeren aanvraag;01.10.2011-13:40:09;11019
13;W_Completeren aanvraag;01.10.2011-13:55:45;11203
13;W_Completeren aanvraag;01.10.2011-14:05:28;11203
13;W_Nabellen offertes;04.10.2011-10:59:22;10982
13;W_Nabellen offertes;10.10.2011-11:34:00;10899
13;W_Valideren aanvraag;13.10.2011-08:49:09;10138
13;W_Nabellen incomplete dossiers;13.10.2011-09:03:37;-1
13;W_Nabellen incomplete dossiers;13.10.2011-09:06:33;-1
13;W_Nabellen incomplete dossiers;13.10.2011-09:08:21;-1
13;W_Nabellen incomplete dossiers;13.10.2011-09:36:55;11169
13;W_Nabellen incomplete dossiers;13.10.2011-10:16:30;-1
13;W_Nabellen incomplete dossiers;18.10.2011-08:20:38;-1
13;W_Valideren aanvraag;18.10.2011-10:01:37;10809
14;W_Completeren aanvraag;01.10.2011-13:27:27;11000
14;W_Completeren aanvraag;01.10.2011-13:42:01;-1
14;W_Completeren aanvraag;01.10.2011-13:56:43;11000
14;W_Nabellen offertes;01.10.2011-14:00:21;11000
14;W_Nabellen offertes;08.10.2011-13:32:48;11000
14;W_Nabellen offertes;11.10.2011-08:19:14;-1
14;W_Valideren aanvraag;13.10.2011-11:12:26;10609
14;W_Valideren aanvraag;13.10.2011-13:04:19;10629
14;W_Nabellen incomplete dossiers;13.10.2011-18:01:47;10939
14;W_Nabellen incomplete dossiers;14.10.2011-08:06:41;11019
14;W_Nabellen incomplete dossiers;14.10.2011-11:19:58;-1
14;W_Nabellen incomplete dossiers;14.10.2011-11:37:05;-1
14;W_Nabellen incomplete dossiers;14.10.2011-12:05:18;11000
14;W_Nabellen incomplete dossiers;14.10.2011-13:49:18;-1
14;W_Valideren aanvraag;14.10.2011-14:22:55;10629
15;W_Afhandelen leads;01.10.2011-12:56:22;10939
15;W_Completeren aanvraag;01.10.2011-13:50:01;-1
15;W_Completeren aanvraag;03.10.2011-10:56:17;11180
15;W_Completeren aanvraag;03.10.2011-13:55:10;11201
15;W_Completeren aanvraag;04.10.2011-09:35:15;11169
15;W_Completeren aanvraag;04.10.2011-11:26:21;11179
15;W_Completeren aanvraag;04.10.2011-15:27:09;11122
15;W_Completeren aanvraag;05.10.2011-07:32:15;11180
15;W_Completeren aanvraag;05.10.2011-11:28:37;-1
15;W_Completeren aanvraag;05.10.2011-16:14:09;-1
15;W_Completeren aanvraag;05.10.2011-16:53:18;-1
15;W_Completeren aanvraag;06.10.2011-08:00:04;11201
15;W_Completeren aanvraag;06.10.2011-18:54:12;11180
15;W_Completeren aanvraag;07.10.2011-16:34:58;11181
15;W_Completeren aanvraag;08.10.2011-08:51:27;10913
15;W_Completeren aanvraag;08.10.2011-09:30:22;11181
15;W_Completeren aanvraag;14.10.2011-13:52:09;-1
16;W_Afhandelen leads;01.10.2011-13:21:27;10939
16;W_Completeren aanvraag;01.10.2011-13:58:47;-1
16;W_Nabellen offertes;08.10.2011-10:45:59;11000
17;W_Afhandelen leads;01.10.2011-13:24:17;10939
17;W_Completeren aanvraag;01.10.2011-13:57:08;10939
17;W_Completeren aanvraag;01.10.2011-13:57:18;10939
17;W_Completeren aanvraag;01.10.2011-14:00:29;-1
17;W_Completeren aanvraag;01.10.2011-14:09:35;11019
17;W_Completeren aanvraag;01.10.2011-14:37:33;11119
17;W_Nabellen offertes;01.10.2011-14:39:20;11119
17;W_Nabellen offertes;01.10.2011-14:42:18;11119
17;W_Nabellen offertes;01.10.2011-14:48:25;11119
17;W_Nabellen offertes;03.10.2011-14:44:24;11001
18;W_Completeren aanvraag;01.10.2011-13:34:03;11000
18;W_Completeren aanvraag;01.10.2011-14:50:03;-1
18;W_Nabellen offertes;07.10.2011-10:40:20;10899
18;W_Valideren aanvraag;11.10.2011-08:39:37;10138
19;W_Completeren aanvraag;01.10.2011-13:44:41;11000
19;W_Completeren aanvraag;01.10.2011-14:00:04;10939
19;W_Completeren aanvraag;03.10.2011-10:57:19;11180
19;W_Completeren aanvraag;04.10.2011-07:28:25;-1
19;W_Completeren aanvraag;04.10.2011-11:23:24;11001
19;W_Completeren aanvraag;04.10.2011-15:57:28;11179
19;W_Completeren aanvraag;05.10.2011-07:52:18;11180
19;W_Completeren aanvraag;05.10.2011-11:52:14;-1
19;W_Completeren aanvraag;05.10.2011-16:39:11;11181
19;W_Completeren aanvraag;06.10.2011-07:59:11;11189
19;W_Completeren aanvraag;07.10.2011-07:18:19;-1
19;W_Completeren aanvraag;07.10.2011-16:41:57;11181
19;W_Completeren aanvraag;08.10.2011-09:12:22;11181
19;W_Completeren aanvraag;14.10.2011-11:51:42;10809
19;W_Completeren aanvraag;14.10.2011-11:52:59;10809
19;W_Completeren aanvraag;14.10.2011-12:26:30;10809
19;W_Beoordelen fraude;14.10.2011-12:26:59;10809
19;W_Beoordelen fraude;14.10.2011-12:28:41;10809
20;W_Completeren aanvraag;01.10.2011-14:01:45;11019
20;W_Nabellen offertes;08.10.2011-10:34:58;-1
20;W_Nabellen offertes;10.10.2011-17:52:09;11119
20;W_Nabellen offertes;11.10.2011-09:01:39;11049
20;W_Valideren aanvraag;14.10.2011-13:41:11;10972
21;W_Afhandelen leads;01.10.2011-14:38:43;10939
22;W_Completeren aanvraag;01.10.2011-14:45:56;11019
22;W_Completeren aanvraag;01.10.2011-14:48:23;11203
22;W_Completeren aanvraag;03.10.2011-11:48:25;11180
22;W_Completeren aanvraag;04.10.2011-07:34:40;-1
22;W_Completeren aanvraag;04.10.2011-11:11:09;11169
22;W_Completeren aanvraag;04.10.2011-15:17:33;11122
22;W_Completeren aanvraag;05.10.2011-07:20:40;11180
22;W_Completeren aanvraag;05.10.2011-08:42:52;-1
22;W_Completeren aanvraag;05.10.2011-12:05:43;-1
22;W_Completeren aanvraag;05.10.2011-16:50:58;11181
22;W_Completeren aanvraag;06.10.2011-07:58:22;-1
22;W_Completeren aanvraag;06.10.2011-18:52:12;11180
23;W_Completeren aanvraag;03.10.2011-07:20:05;-1
23;W_Completeren aanvraag;03.10.2011-08:38:04;10913
24;W_Afhandelen leads;03.10.2011-07:04:57;-1
25;W_Completeren aanvraag;03.10.2011-07:25:12;11180
26;W_Completeren aanvraag;03.10.2011-07:19:46;-1
26;W_Completeren aanvraag;03.10.2011-12:36:50;-1
26;W_Completeren aanvraag;04.10.2011-08:01:30;-1
26;W_Completeren aanvraag;04.10.2011-11:41:55;11169
26;W_Completeren aanvraag;04.10.2011-15:15:04;11121
26;W_Completeren aanvraag;04.10.2011-15:15:24;11121
26;W_Completeren aanvraag;04.10.2011-15:19:49;11122
26;W_Completeren aanvraag;04.10.2011-15:37:29;11122
26;W_Nabellen offertes;11.10.2011-18:42:59;10982
26;W_Nabellen offertes;12.10.2011-14:47:33;11180
26;W_Nabellen offertes;13.10.2011-16:50:05;10982
26;W_Nabellen offertes;17.10.2011-09:29:16;11049
26;W_Valideren aanvraag;19.10.2011-11:25:05;10609
26;W_Nabellen incomplete dossiers;19.10.2011-12:41:13;11189
26;W_Nabellen incomplete dossiers;19.10.2011-17:37:43;11122
26;W_Nabellen incomplete dossiers;20.10.2011-07:29:54;11049
26;W_Nabellen incomplete dossiers;21.10.2011-16:57:41;-1
26;W_Nabellen incomplete dossiers;24.10.2011-08:35:43;11121
26;W_Nabellen incomplete dossiers;27.10.2011-12:09:53;11049
26;W_Nabellen incomplete dossiers;28.10.2011-05:50:44;-1
26;W_Valideren aanvraag;28.10.2011-07:50:08;10609
26;W_Nabellen incomplete dossiers;28.10.2011-09:54:32;10861
26;W_Nabellen incomplete dossiers;28.10.2011-10:35:25;11002
26;W_Valideren aanvraag;31.10.2011-08:38:48;10609
26;W_Valideren aanvraag;31.10.2011-10:18:09;10609
26;W_Nabellen incomplete dossiers;31.10.2011-14:36:47;-1
26;W_Nabellen incomplete dossiers;31.10.2011-19:37:23;-1
26;W_Nabellen incomplete dossiers;01.11.2011-13:19:14;11169
26;W_Nabellen incomplete dossiers;01.11.2011-14:13:12;11169
26;W_Nabellen incomplete dossiers;03.11.2011-07:38:04;11049
26;W_Nabellen incomplete dossiers;03.11.2011-15:28:08;11169
26;W_Nabellen incomplete dossiers;03.11.2011-16:15:31;11002
26;W_Nabellen incomplete dossiers;05.11.2011-10:18:12;11002
26;W_Nabellen incomplete dossiers;05.11.2011-13:46:22;-1
26;W_Nabellen incomplete dossiers;07.11.2011-08:33:11;10809
26;W_Nabellen incomplete dossiers;07.11.2011-13:39:22;-1
26;W_Nabellen incomplete dossiers;07.11.2011-14:09:55;-1
26;W_Nabellen incomplete dossiers;08.11.2011-19:37:59;10228
26;W_Nabellen incomplete dossiers;10.11.2011-10:20:04;11049
26;W_Nabellen incomplete dossiers;11.11.2011-08:30:59;11049
26;W_Valideren aanvraag;11.11.2011-09:25:50;10609
26;W_Valideren aanvraag;15.11.2011-11:28:14;10138
26;W_Valideren aanvraag;15.11.2011-11:50:36;10609
27;W_Completeren aanvraag;03.10.2011-07:31:09;-1
27;W_Nabellen offertes;03.10.2011-07:36:45;-1
27;W_Nabellen offertes;03.10.2011-07:39:54;-1
27;W_Nabellen offertes;03.10.2011-07:54:06;-1
27;W_Nabellen offertes;10.10.2011-13:10:36;-1
27;W_Nabellen offertes;10.10.2011-17:59:57;11201
27;W_Nabellen offertes;10.10.2011-18:55:56;11181
27;W_Nabellen offertes;18.10.2011-09:49:29;-1
27;W_Nabellen offertes;19.10.2011-16:51:57;11119
28;W_Completeren aanvraag;03.10.2011-07:26:12;-1
28;W_Nabellen offertes;03.10.2011-07:31:22;-1
28;W_Nabellen offertes;03.10.2011-07:32:18;-1
28;W_Nabellen offertes;07.10.2011-10:37:08;10789
28;W_Valideren aanvraag;07.10.2011-15:31:10;10972
28;W_Valideren aanvraag;10.10.2011-12:22:43;10609
29;W_Completeren aanvraag;03.10.2011-07:29:52;11180
29;W_Completeren aanvraag;03.10.2011-12:53:22;-1
29;W_Nabellen offertes;03.10.2011-12:58:24;-1
29;W_Nabellen offertes;10.10.2011-15:48:08;11119
29;W_Nabellen offertes;14.10.2011-08:08:49;-1
29;W_Valideren aanvraag;18.10.2011-08:17:36;10609
29;W_Nabellen incomplete dossiers;18.10.2011-08:55:09;10861
29;W_Valideren aanvraag;18.10.2011-09:18:19;10609
29;W_Valideren aanvraag;18.10.2011-09:25:11;10609
30;W_Completeren aanvraag;03.10.2011-07:32:18;11180
30;W_Completeren aanvraag;03.10.2011-09:16:43;11001
30;W_Nabellen offertes;10.10.2011-15:23:27;11201
30;W_Nabellen offertes;10.10.2011-15:23:56;11201
31;W_Completeren aanvraag;03.10.2011-07:35:35;11180
31;W_Completeren aanvraag;04.10.2011-16:15:07;11121
31;W_Completeren aanvraag;04.10.2011-16:15:39;10982
31;W_Completeren aanvraag;04.10.2011-16:30:30;11121
32;W_Afhandelen leads;03.10.2011-07:07:20;-1
33;W_Completeren aanvraag;03.10.2011-07:37:47;11180
33;W_Completeren aanvraag;03.10.2011-07:53:27;-1
33;W_Nabellen offertes;03.10.2011-07:59:31;-1
33;W_Nabellen offertes;03.10.2011-08:06:56;-1
33;W_Nabellen offertes;10.10.2011-14:16:26;-1
33;W_Nabellen offertes;18.10.2011-12:04:21;-1
33;W_Nabellen offertes;18.10.2011-12:09:41;10861
33;W_Nabellen offertes;19.10.2011-17:17:02;11119
33;W_Nabellen offertes;25.10.2011-10:02:55;11201
33;W_Nabellen offertes;25.10.2011-14:11:42;10881
33;W_Nabellen offertes;25.10.2011-14:12:11;10881
33;W_Nabellen offertes;27.10.2011-12:55:44;11189
33;W_Nabellen offertes;31.10.2011-15:11:55;11201
33;W_Nabellen offertes;31.10.2011-15:28:29;11180
33;W_Nabellen offertes;03.11.2011-08:15:16;11180
34;W_Afhandelen leads;03.10.2011-07:09:15;-1
34;W_Completeren aanvraag;03.10.2011-09:04:49;-1
34;W_Completeren aanvraag;03.10.2011-09:47:49;11180
34;W_Nabellen offertes;03.10.2011-09:49:51;11180
34;W_Nabellen offertes;10.10.2011-14:57:27;-1
34;W_Nabellen offertes;10.10.2011-17:28:06;11119
34;W_Nabellen offertes;12.10.2011-14:24:24;11180
34;W_Nabellen offertes;13.10.2011-18:04:11;11201
34;W_Nabellen offertes;13.10.2011-18:05:15;11201
34;W_Nabellen offertes;13.10.2011-18:41:21;11180
34;W_Nabellen offertes;13.10.2011-18:52:40;11201
34;W_Nabellen offertes;13.10.2011-18:56:25;11201
34;W_Nabellen offertes;15.10.2011-13:05:59;-1
34;W_Nabellen offertes;17.10.2011-18:03:47;11119
34;W_Nabellen offertes;19.10.2011-08:49:55;11180
34;W_Nabellen offertes;19.10.2011-17:57:09;11119
34;W_Nabellen offertes;19.10.2011-18:32:33;11119
34;W_Nabellen offertes;03.11.2011-08:15:25;11119
35;W_Afhandelen leads;03.10.2011-07:10:52;-1
35;W_Completeren aanvraag;03.10.2011-09:15:49;-1
36;W_Completeren aanvraag;03.10.2011-07:52:40;11180
36;W_Nabellen offertes;03.10.2011-07:53:29;11180
36;W_Nabellen offertes;03.10.2011-07:54:32;11180
36;W_Nabellen offertes;07.10.2011-11:23:34;10899
36;W_Valideren aanvraag;11.10.2011-07:15:48;10609
37;W_Completeren aanvraag;03.10.2011-07:57:34;-1
37;W_Nabellen offertes;03.10.2011-08:04:14;-1
37;W_Nabellen offertes;10.10.2011-12:01:46;10899
37;W_Valideren aanvraag;12.10.2011-06:58:20;10138
37;W_Valideren aanvraag;13.10.2011-07:36:24;10138
38;W_Afhandelen leads;03.10.2011-07:34:55;-1
38;W_Afhandelen leads;03.10.2011-07:42:11;11001
38;W_Afhandelen leads;03.10.2011-07:44:49;11001
38;W_Completeren aanvraag;03.10.2011-07:46:31;11001
38;W_Completeren aanvraag;03.10.2011-11:59:04;-1
38;W_Completeren aanvraag;03.10.2011-12:11:03;11180
38;W_Completeren aanvraag;03.10.2011-12:39:28;10889
39;W_Afhandelen leads;03.10.2011-07:34:55;-1
39;W_Afhandelen leads;03.10.2011-07:37:45;10889
39;W_Completeren aanvraag;03.10.2011-07:38:50;10889
40;W_Completeren aanvraag;03.10.2011-07:57:13;11180
40;W_Completeren aanvraag;03.10.2011-08:10:38;-1
40;W_Completeren aanvraag;03.10.2011-08:36:01;11180
40;W_Nabellen offertes;03.10.2011-08:37:01;11180
40;W_Nabellen offertes;03.10.2011-08:55:32;11180
40;W_Nabellen offertes;10.10.2011-14:41:10;-1
40;W_Nabellen offertes;18.10.2011-08:21:12;-1
40;W_Nabellen offertes;18.10.2011-11:37:40;10861
40;W_Nabellen offertes;18.10.2011-12:12:46;10861
41;W_Completeren aanvraag;03.10.2011-08:25:27;-1
41;W_Completeren aanvraag;04.10.2011-10:12:53;-1
41;W_Completeren aanvraag;04.10.2011-11:59:22;11001
42;W_Completeren aanvraag;03.10.2011-08:11:17;11180
42;W_Completeren aanvraag;03.10.2011-11:15:40;11201
42;W_Completeren aanvraag;03.10.2011-11:19:48;11201
42;W_Nabellen offertes;10.10.2011-08:17:49;11049
42;W_Valideren aanvraag;11.10.2011-12:57:09;10629
43;W_Completeren aanvraag;03.10.2011-08:22:08;-1
43;W_Nabellen offertes;10.10.2011-11:52:48;10899
43;W_Valideren aanvraag;12.10.2011-08:52:13;10138
44;W_Afhandelen leads;03.10.2011-07:23:52;11001
44;W_Afhandelen leads;03.10.2011-07:26:39;11001
45;W_Afhandelen leads;03.10.2011-07:28:44;11001
45;W_Completeren aanvraag;03.10.2011-10:37:08;-1
45;W_Nabellen offertes;03.10.2011-10:38:46;-1
45;W_Nabellen offertes;10.10.2011-14:43:55;-1
46;W_Afhandelen leads;03.10.2011-07:30:10;11001
47;W_Completeren aanvraag;03.10.2011-08:17:33;11180
47;W_Completeren aanvraag;03.10.2011-08:21:43;11180
47;W_Nabellen offertes;10.10.2011-14:28:12;-1
47;W_Nabellen offertes;18.10.2011-09:41:06;-1
47;W_Nabellen offertes;19.10.2011-16:47:17;11119
47;W_Nabellen offertes;20.10.2011-07:11:50;-1
47;W_Valideren aanvraag;26.10.2011-06:07:39;10609
48;W_Completeren aanvraag;03.10.2011-08:28:37;-1
48;W_Completeren aanvraag;03.10.2011-12:41:00;11201
48;W_Completeren aanvraag;03.10.2011-13:15:36;10889
48;W_Completeren aanvraag;03.10.2011-13:18:02;10889
48;W_Completeren aanvraag;04.10.2011-17:38:50;10909
48;W_Completeren aanvraag;04.10.2011-17:40:49;10909
48;W_Nabellen offertes;04.10.2011-17:41:00;10909
48;W_Nabellen offertes;04.10.2011-17:42:29;10909
48;W_Nabellen offertes;11.10.2011-08:01:13;-1
48;W_Valideren aanvraag;14.10.2011-07:56:18;10138
48;W_Valideren aanvraag;14.10.2011-08:05:57;10138
49;W_Afhandelen leads;03.10.2011-07:31:47;11001
49;W_Completeren aanvraag;03.10.2011-10:54:18;11180
49;W_Completeren aanvraag;03.10.2011-12:00:48;11201
49;W_Nabellen offertes;03.10.2011-12:02:13;11201
49;W_Nabellen offertes;10.10.2011-16:19:22;11119
49;W_Nabellen offertes;10.10.2011-16:22:25;11119
49;W_Nabellen offertes;11.10.2011-14:20:52;10889
49;W_Nabellen offertes;19.10.2011-18:01:09;11122
49;W_Nabellen offertes;24.10.2011-09:28:27;-1
49;W_Valideren aanvraag;28.10.2011-10:02:13;10138
49;W_Valideren aanvraag;28.10.2011-10:19:46;10138
49;W_Nabellen incomplete dossiers;28.10.2011-13:50:05;10982
49;W_Nabellen incomplete dossiers;28.10.2011-14:27:27;11169
49;W_Nabellen incomplete dossiers;28.10.2011-14:33:57;11169
49;W_Nabellen incomplete dossiers;28.10.2011-17:51:35;10913
49;W_Nabellen incomplete dossiers;03.11.2011-07:54:48;11049
49;W_Nabellen incomplete dossiers;04.11.2011-10:46:12;10789
49;W_Valideren aanvraag;04.11.2011-12:09:47;10138
50;W_Afhandelen leads;03.10.2011-07:36:33;11001
51;W_Afhandelen leads;03.10.2011-07:37:07;10889
51;W_Completeren aanvraag;03.10.2011-11:58:22;-1
51;W_Completeren aanvraag;03.10.2011-14:45:50;11201
51;W_Completeren aanvraag;03.10.2011-14:51:51;10889
51;W_Nabellen offertes;10.10.2011-16:44:19;11119
51;W_Nabellen offertes;12.10.2011-14:22:54;11180
51;W_Nabellen offertes;13.10.2011-18:00:48;11201
52;W_Afhandelen leads;03.10.2011-07:33:46;10889
53;W_Afhandelen leads;03.10.2011-07:35:23;10889
54;W_Completeren aanvraag;03.10.2011-08:43:52;-1
54;W_Nabellen offertes;03.10.2011-08:52:28;-1
54;W_Nabellen offertes;06.10.2011-09:14:33;10939
54;W_Nabellen offertes;10.10.2011-11:51:23;10899
54;W_Valideren aanvraag;12.10.2011-13:54:05;10809
54;W_Valideren aanvraag;12.10.2011-14:01:06;10809
55;W_Beoordelen fraude;03.10.2011-09:00:29;10188
55;W_Beoordelen fraude;03.10.2011-09:01:13;10188
55;W_Beoordelen fraude;03.10.2011-09:19:30;10188
56;W_Afhandelen leads;03.10.2011-07:30:25;10889
56;W_Completeren aanvraag;03.10.2011-10:28:21;11180
56;W_Completeren aanvraag;03.10.2011-14:08:25;11201
56;W_Completeren aanvraag;03.10.2011-14:16:07;-1
56;W_Completeren aanvraag;03.10.2011-14:52:30;11001
56;W_Completeren aanvraag;04.10.2011-10:04:02;-1
57;W_Afhandelen leads;03.10.2011-07:28:17;10889
57;W_Completeren aanvraag;03.10.2011-10:21:41;-1
57;W_Completeren aanvraag;03.10.2011-10:23:42;-1
58;W_Completeren aanvraag;03.10.2011-08:29:11;-1
58;W_Completeren aanvraag;03.10.2011-08:58:03;11180
58;W_Completeren aanvraag;03.10.2011-13:29:08;11180
58;W_Nabellen offertes;03.10.2011-13:30:11;11180
58;W_Nabellen offertes;03.10.2011-13:31:48;11180
58;W_Nabellen offertes;10.10.2011-16:28:06;11119
58;W_Nabellen offertes;12.10.2011-14:13:02;11180
58;W_Nabellen offertes;21.10.2011-10:32:29;-1
58;W_Nabellen offertes;21.10.2011-18:25:44;10609
58;W_Nabellen offertes;24.10.2011-14:13:24;11180
58;W_Nabellen offertes;26.10.2011-08:23:29;-1
58;W_Valideren aanvraag;31.10.2011-12:19:02;10629
58;W_Nabellen incomplete dossiers;31.10.2011-16:17:03;10889
58;W_Nabellen incomplete dossiers;01.11.2011-10:19:59;11169
58;W_Nabellen incomplete dossiers;01.11.2011-15:40:13;11169
58;W_Nabellen incomplete dossiers;01.11.2011-18:00:06;10913
58;W_Nabellen incomplete dossiers;03.11.2011-07:49:14;11049
